과목명,학수번호,분반,학점,담당교수,강의시간,종류,영역,combined
한국어읽기1,0ARG1108,1,2.0,김승자,목1~2,일반교양,1.0,한국어읽기1 / 0ARG1108 / 1 / 2.0 / 김승자 / 목1~2 / 일반교양 / 1.0
한중비즈니스언어예절비교,0ARB6445,2,2.0,박수연,수7~8,일반교양,1.0,한중비즈니스언어예절비교 / 0ARB6445 / 2 / 2.0 / 박수연 / 수7~8 / 일반교양 / 1.0
성서와기독교정신,0ARB1100,7,2.0,김성열,화6~7,일반교양,1.0,성서와기독교정신 / 0ARB1100 / 7 / 2.0 / 김성열 / 화6~7 / 일반교양 / 1.0
실용생활중국어,0ARB5660,7,2.0,슈메이,수5~6,일반교양,1.0,실용생활중국어 / 0ARB5660 / 7 / 2.0 / 슈메이 / 수5~6 / 일반교양 / 1.0
기초중국어,0ARB5680,7,2.0,치아오 춘옌,목1~2,일반교양,1.0,기초중국어 / 0ARB5680 / 7 / 2.0 / 치아오 춘옌 / 목1~2 / 일반교양 / 1.0
취업중국어,0ARB5685,7,2.0,치아오 춘옌,목3~4,일반교양,1.0,취업중국어 / 0ARB5685 / 7 / 2.0 / 치아오 춘옌 / 목3~4 / 일반교양 / 1.0
초급영작문,0ARB5720,7,2.0,알렉산더,화3~4,일반교양,1.0,초급영작문 / 0ARB5720 / 7 / 2.0 / 알렉산더 / 화3~4 / 일반교양 / 1.0
초급생활독일어,0ARG1051,7,2.0,문윤덕,월2~3,일반교양,1.0,초급생활독일어 / 0ARG1051 / 7 / 2.0 / 문윤덕 / 월2~3 / 일반교양 / 1.0
한국사,0ARB0205,7,2.0,노혜경,목1~2,일반교양,1.0,한국사 / 0ARB0205 / 7 / 2.0 / 노혜경 / 목1~2 / 일반교양 / 1.0
영화분석과리뷰,0ARG1023,7,2.0,강만진,화2~3,일반교양,1.0,영화분석과리뷰 / 0ARG1023 / 7 / 2.0 / 강만진 / 화2~3 / 일반교양 / 1.0
현대미술과애니메이션,0ARG1049,7,2.0,김윤경,목5~6,일반교양,1.0,현대미술과애니메이션 / 0ARG1049 / 7 / 2.0 / 김윤경 / 목5~6 / 일반교양 / 1.0
전쟁과인간,0ARG1061,7,2.0,노혜경,목3~4,일반교양,1.0,전쟁과인간 / 0ARG1061 / 7 / 2.0 / 노혜경 / 목3~4 / 일반교양 / 1.0
예술과생활,0ARG1066,7,2.0,안은재,목5~6,일반교양,1.0,예술과생활 / 0ARG1066 / 7 / 2.0 / 안은재 / 목5~6 / 일반교양 / 1.0
에어로빅댄스와유산소운동이해,0ARG1089,7,2.0,이경주,월5~6,일반교양,1.0,에어로빅댄스와유산소운동이해 / 0ARG1089 / 7 / 2.0 / 이경주 / 월5~6 / 일반교양 / 1.0
영어미디어비판적담론,0ARG1098,7,2.0,사무엘,수5~6,일반교양,1.0,영어미디어비판적담론 / 0ARG1098 / 7 / 2.0 / 사무엘 / 수5~6 / 일반교양 / 1.0
한국음악과문화,0ARG1119,7,2.0,권도희,수1~2,일반교양,1.0,한국음악과문화 / 0ARG1119 / 7 / 2.0 / 권도희 / 수1~2 / 일반교양 / 1.0
알기쉬운인간의이해,0ARG1136,7,2.0,이만수,목3~4,일반교양,1.0,알기쉬운인간의이해 / 0ARG1136 / 7 / 2.0 / 이만수 / 목3~4 / 일반교양 / 1.0
폭력과범죄예방호신술,0ARG1151,7,2.0,김의영,수1~2,일반교양,1.0,폭력과범죄예방호신술 / 0ARG1151 / 7 / 2.0 / 김의영 / 수1~2 / 일반교양 / 1.0
심신균형미학과요가필라,0ARG1152,7,2.0,이경주,월7~8,일반교양,1.0,심신균형미학과요가필라 / 0ARG1152 / 7 / 2.0 / 이경주 / 월7~8 / 일반교양 / 1.0
중국음악예술의이해,0ARG1155,7,2.0,권도희,화3~4,일반교양,1.0,중국음악예술의이해 / 0ARG1155 / 7 / 2.0 / 권도희 / 화3~4 / 일반교양 / 1.0
한국고전시가의산책,0ARG1249,7,2.0,이정선,화5~6,일반교양,1.0,한국고전시가의산책 / 0ARG1249 / 7 / 2.0 / 이정선 / 화5~6 / 일반교양 / 1.0
인간과아름다움,0ARG1262,7,2.0,장동석,수5~6,일반교양,1.0,인간과아름다움 / 0ARG1262 / 7 / 2.0 / 장동석 / 수5~6 / 일반교양 / 1.0
한국아동문학의이해,0ARG1265,7,2.0,김찬곤,월7~8,일반교양,1.0,한국아동문학의이해 / 0ARG1265 / 7 / 2.0 / 김찬곤 / 월7~8 / 일반교양 / 1.0
[나눔]진짜영어!영어사서,0ARG1267,7,2.0,데렉 존 토마스,목7~8,일반교양,1.0,[나눔]진짜영어!영어사서 / 0ARG1267 / 7 / 2.0 / 데렉 존 토마스 / 목7~8 / 일반교양 / 1.0
ESG기반의생태영성과그린캠퍼스형성,0ARG1304,7,2.0,박미경,화5~6,일반교양,1.0,ESG기반의생태영성과그린캠퍼스형성 / 0ARG1304 / 7 / 2.0 / 박미경 / 화5~6 / 일반교양 / 1.0
"포스트모더니즘과성,권력,규율",0ARG1320,7,2.0,이세진,화3~4,일반교양,1.0,"포스트모더니즘과성,권력,규율 / 0ARG1320 / 7 / 2.0 / 이세진 / 화3~4 / 일반교양 / 1.0"
한국대중음악과미디어,0ARG1341,7,2.0,권도희,화1~2,일반교양,1.0,한국대중음악과미디어 / 0ARG1341 / 7 / 2.0 / 권도희 / 화1~2 / 일반교양 / 1.0
가치로서의자연과인간,0ARB0135,9,2.0,이세진,월3~4,일반교양,1.0,가치로서의자연과인간 / 0ARB0135 / 9 / 2.0 / 이세진 / 월3~4 / 일반교양 / 1.0
한국어말하기1,0ARG1080,1,2.0,김승자,목5~6,일반교양,2.0,한국어말하기1 / 0ARG1080 / 1 / 2.0 / 김승자 / 목5~6 / 일반교양 / 2.0
스피치커뮤니케이션,0ARG1115,2,2.0,데이비드 데보라,화3~4,일반교양,2.0,스피치커뮤니케이션 / 0ARG1115 / 2 / 2.0 / 데이비드 데보라 / 화3~4 / 일반교양 / 2.0
한국의개황,0ARB2240,2,2.0,김시용,수3~4,일반교양,2.0,한국의개황 / 0ARB2240 / 2 / 2.0 / 김시용 / 수3~4 / 일반교양 / 2.0
초대교회리더십,0ARB4071,7,2.0,염창선,화5~6,일반교양,2.0,초대교회리더십 / 0ARB4071 / 7 / 2.0 / 염창선 / 화5~6 / 일반교양 / 2.0
한국어쓰기,0ARG1082,7,2.0,김승자,목7~8,일반교양,2.0,한국어쓰기 / 0ARG1082 / 7 / 2.0 / 김승자 / 목7~8 / 일반교양 / 2.0
리더십(벤처),0ARG1143,7,2.0,곽정근,수7~8,일반교양,2.0,리더십(벤처) / 0ARG1143 / 7 / 2.0 / 곽정근 / 수7~8 / 일반교양 / 2.0
현대통상의이해,0ARB1900,7,2.0,이상직,월5~6,일반교양,2.0,현대통상의이해 / 0ARB1900 / 7 / 2.0 / 이상직 / 월5~6 / 일반교양 / 2.0
서양중세문화,0ARB2450,7,2.0,문윤덕,월5~6,일반교양,2.0,서양중세문화 / 0ARB2450 / 7 / 2.0 / 문윤덕 / 월5~6 / 일반교양 / 2.0
중국의문화코드,0ARB2590,7,2.0,전가림,화4~5,일반교양,2.0,중국의문화코드 / 0ARB2590 / 7 / 2.0 / 전가림 / 화4~5 / 일반교양 / 2.0
이미지로읽는중국,0ARB5693,7,2.0,홍은기,수3~4,일반교양,2.0,이미지로읽는중국 / 0ARB5693 / 7 / 2.0 / 홍은기 / 수3~4 / 일반교양 / 2.0
이탈토탈(이탈리아문화기행),0ARB6790,7,2.0,안형렬,화5~6,일반교양,2.0,이탈토탈(이탈리아문화기행) / 0ARB6790 / 7 / 2.0 / 안형렬 / 화5~6 / 일반교양 / 2.0
중국경제지리,0ARB9015,7,2.0,전가림,월1~2,일반교양,2.0,중국경제지리 / 0ARB9015 / 7 / 2.0 / 전가림 / 월1~2 / 일반교양 / 2.0
경제의기초와생활,0ARG1005,7,2.0,이상직,월7~8,일반교양,2.0,경제의기초와생활 / 0ARG1005 / 7 / 2.0 / 이상직 / 월7~8 / 일반교양 / 2.0
이야기형법,0ARG1035,7,2.0,정영훈,화4~5,일반교양,2.0,이야기형법 / 0ARG1035 / 7 / 2.0 / 정영훈 / 화4~5 / 일반교양 / 2.0
세계사를바꾼사건들과벤처정신,0ARG1074,7,2.0,김성만,월3~4,일반교양,2.0,세계사를바꾼사건들과벤처정신 / 0ARG1074 / 7 / 2.0 / 김성만 / 월3~4 / 일반교양 / 2.0
현대사회와패션문화,0ARG1083,7,2.0,안은재,목7~8,일반교양,2.0,현대사회와패션문화 / 0ARG1083 / 7 / 2.0 / 안은재 / 목7~8 / 일반교양 / 2.0
현대중국사회의이해,0ARG1141,7,3.0,치아오 춘옌,화1~3,일반교양,2.0,현대중국사회의이해 / 0ARG1141 / 7 / 3.0 / 치아오 춘옌 / 화1~3 / 일반교양 / 2.0
부동산과생활경제,0ARG1158,7,3.0,이재순,월6~8,일반교양,2.0,부동산과생활경제 / 0ARG1158 / 7 / 3.0 / 이재순 / 월6~8 / 일반교양 / 2.0
세계의음식문화비교,0ARG1173,7,2.0,우나리야,목6~7,일반교양,2.0,세계의음식문화비교 / 0ARG1173 / 7 / 2.0 / 우나리야 / 목6~7 / 일반교양 / 2.0
미디어발달과뉴미디어이해,0ARG1248,7,3.0,김용석,금1~3,일반교양,2.0,미디어발달과뉴미디어이해 / 0ARG1248 / 7 / 3.0 / 김용석 / 금1~3 / 일반교양 / 2.0
북한역사의이해,0ARG1256,7,2.0,이세진,화1~2,일반교양,2.0,북한역사의이해 / 0ARG1256 / 7 / 2.0 / 이세진 / 화1~2 / 일반교양 / 2.0
공유경제와창업,0ARG1257,7,3.0,서덕화,목5~7,일반교양,2.0,공유경제와창업 / 0ARG1257 / 7 / 3.0 / 서덕화 / 목5~7 / 일반교양 / 2.0
쟁점으로본한국근현대사,0ARG1260,7,2.0,조한필,월5~6,일반교양,2.0,쟁점으로본한국근현대사 / 0ARG1260 / 7 / 2.0 / 조한필 / 월5~6 / 일반교양 / 2.0
국제개발협력의이해,0ARG1331,7,2.0,남창섭,월5~6,일반교양,2.0,국제개발협력의이해 / 0ARG1331 / 7 / 2.0 / 남창섭 / 월5~6 / 일반교양 / 2.0
사회적기업가정신:개론과임팩트,0ARG1334,7,2.0,캐스퍼,수4~5,일반교양,2.0,사회적기업가정신:개론과임팩트 / 0ARG1334 / 7 / 2.0 / 캐스퍼 / 수4~5 / 일반교양 / 2.0
세계문화로이해하는교양영어,0ARG1335,7,2.0,지맥심,목3~4,일반교양,2.0,세계문화로이해하는교양영어 / 0ARG1335 / 7 / 2.0 / 지맥심 / 목3~4 / 일반교양 / 2.0
교육정책의실제,0ARG1343,7,2.0,신익현,수5~6,일반교양,2.0,교육정책의실제 / 0ARG1343 / 7 / 2.0 / 신익현 / 수5~6 / 일반교양 / 2.0
엑셀로만나보는빅데이터분석,0ARG1295,1,2.0,김영태,화4~5,일반교양,3.0,엑셀로만나보는빅데이터분석 / 0ARG1295 / 1 / 2.0 / 김영태 / 화4~5 / 일반교양 / 3.0
엔트리로배우는인공지능,0ARG1298,1,2.0,이경희,목3~4,일반교양,3.0,엔트리로배우는인공지능 / 0ARG1298 / 1 / 2.0 / 이경희 / 목3~4 / 일반교양 / 3.0
생명과학의현대적이해,0ARB0423,7,2.0,김산,월5~6,일반교양,3.0,생명과학의현대적이해 / 0ARB0423 / 7 / 2.0 / 김산 / 월5~6 / 일반교양 / 3.0
한중인적자원개발,0ARG1040,7,2.0,진국화,월2~3,일반교양,3.0,한중인적자원개발 / 0ARG1040 / 7 / 2.0 / 진국화 / 월2~3 / 일반교양 / 3.0
바이오기술의이해(창업),0ARG1121,7,3.0,방인석,월2~4,일반교양,3.0,바이오기술의이해(창업) / 0ARG1121 / 7 / 3.0 / 방인석 / 월2~4 / 일반교양 / 3.0
사진과시네마토그래피,0ARG1140,7,2.0,김윤경,목7~8,일반교양,3.0,사진과시네마토그래피 / 0ARG1140 / 7 / 2.0 / 김윤경 / 목7~8 / 일반교양 / 3.0
4차산업혁명시대의컴퓨터과학,0ARG1150,7,3.0,이호석,목5~7,일반교양,3.0,4차산업혁명시대의컴퓨터과학 / 0ARG1150 / 7 / 3.0 / 이호석 / 목5~7 / 일반교양 / 3.0
데이터인사이트 ,0ARG1253,7,2.0,이형주,수3~4,일반교양,3.0,데이터인사이트 / 0ARG1253 / 7 / 2.0 / 이형주 / 수3~4 / 일반교양 / 3.0
창의적발상과기법,0ARG1259,7,2.0,황길주,화1~2,일반교양,3.0,창의적발상과기법 / 0ARG1259 / 7 / 2.0 / 황길주 / 화1~2 / 일반교양 / 3.0
손에잡히는인공지능앱,0ARG1300,7,2.0,문정경,목2~3,일반교양,3.0,손에잡히는인공지능앱 / 0ARG1300 / 7 / 2.0 / 문정경 / 목2~3 / 일반교양 / 3.0
진화하는소셜미디어의세계,0ARG1316,7,2.0,로나 워싱턴,화3~4,일반교양,3.0,진화하는소셜미디어의세계 / 0ARG1316 / 7 / 2.0 / 로나 워싱턴 / 화3~4 / 일반교양 / 3.0
데이터시각화를활용한창의적보고서작성,0ARG1332,7,2.0,강소라,수2~3,일반교양,3.0,데이터시각화를활용한창의적보고서작성 / 0ARG1332 / 7 / 2.0 / 강소라 / 수2~3 / 일반교양 / 3.0
"우리의영적,신체적,정신적,정서적건강에대한심리학",0ARG1342,7,2.0,로나 워싱턴,목3~4,일반교양,3.0,"우리의영적,신체적,정신적,정서적건강에대한심리학 / 0ARG1342 / 7 / 2.0 / 로나 워싱턴 / 목3~4 / 일반교양 / 3.0"
세상을바꾸는복지과학기술,0ARG1095,91,2.0,김형수,화5~6,일반교양,3.0,세상을바꾸는복지과학기술 / 0ARG1095 / 91 / 2.0 / 김형수 / 화5~6 / 일반교양 / 3.0
과학적지식과철학적지혜,0ARG1275,2,2.0,김완구,목3~4,일반교양,4.0,과학적지식과철학적지혜 / 0ARG1275 / 2 / 2.0 / 김완구 / 목3~4 / 일반교양 / 4.0
문화로배우는이탈리아어,0ARB5641,7,2.0,안형렬,수7~8,일반교양,4.0,문화로배우는이탈리아어 / 0ARB5641 / 7 / 2.0 / 안형렬 / 수7~8 / 일반교양 / 4.0
영화와법률,0ARB0302,7,2.0,정영훈,월3~4,일반교양,4.0,영화와법률 / 0ARB0302 / 7 / 2.0 / 정영훈 / 월3~4 / 일반교양 / 4.0
글로벌시대의한국,0ARB2021,7,2.0,치아오 춘옌,수3~4,일반교양,4.0,글로벌시대의한국 / 0ARB2021 / 7 / 2.0 / 치아오 춘옌 / 수3~4 / 일반교양 / 4.0
천안의이해,0ARB3000,7,2.0,이성희,수7~8,일반교양,4.0,천안의이해 / 0ARB3000 / 7 / 2.0 / 이성희 / 수7~8 / 일반교양 / 4.0
